Label,Message
spam,"FREE DENTAL CHECKUP & X-Ray from MY FAMILY DENTIST. Get Full Mouth Scaling at Rs 499. Also, avail 0% EMI on all treatments for appointment Call on 01165025000."
spam,Just invited you to Hike. Join in 24 hours and get Rs. 51 for free in your Wallet. I will get Rs. 51 too. Download Now http://go-hike.in/a/oBfM2L4T
spam,PIZZA HUT 50% off Don't Cook Wednesday! Get 50% off on Medium Pan Pizzas in-store/2 for delivery! Walk-in/Call 011 3988 3988 /Online https://goo.gl/DhYZOI
spam,"Get UNLIMITED Pan Pizzas, Garlic Bread@Rs. 249 only, & PIZZA HUT Fridays, All day! https://goo.gl/dFKaU9 Valid in all Dine In & select Delivery stores TnC"
spam,"Hey! I am loving all new Hike. It has awesome stickers, option to hide chats and a lot more. Try it out (http://get.hike.in/ufzoD0:s)"
spam,"Spl BCom classes by renowned faculties Tax- Vipin verma Accounts, Eco- Rakesh Chaudhry Cost & FM- Ajay Singh Maths & Stats-Kishan Singh Pitampura 9811682345"
spam,Pls reach me on this email (mrchrisc1@outlook.com) immediately. it is a matter of urgency.
spam,Pls reach me on this email (mrchrisc1@outlook.com) immediately. it is a matter of urgency.
spam,Pest Control Winter Offer - Make your Home PEST free with Expert Pest Control Services & Avail Flat Rs.1000 OFF. For details. sms PEST to 56161
spam,Thank You for being part of Jio Family - Stay connected on the largest and strongest 4G network of India which gives you high speed internet services and unlimited calls even while ROAMING. Recharge renewal date of your Jio number 8178390589 is approaching. Click http://jio.com/r/Qd492oRX to recharge now.
spam,"Your plan for Jio no. 8178390589 expires TODAY. Services will be STOPPED if not recharged. To recharge, click http://jio.com/r/HVOsuHKQ or visit your nearest Jio retailer."
spam,"Join CRASH COURSE for ENG,B.ST,IP &ECO.After excellent response 3rd batch starting tomorrow at D-12/25-26,SEC-8 &D-15/27-28,SEC-3 ROHINI.CALL 8447841933 V-STUDY"
spam,"Pearl Academy invites you to the launch of School of Media at the Times Literature Fest. Come and witness industry experts like Sagarika Ghose, speak about careers in media and communication on 25th November?€?17 at Silver oak lawns IHC. For more information visit: http://bit.ly/2B7MFga or call 8860112207"
spam,"Main tests,15 live classes,35 Video lectures,Tips to prepare,Doubt resolution,Offline revision & more.Visit?www.vlyop.com. Call 8588800740 for queries."
spam,PERSONAL LOAN AT LOWEST RATE WITH NO PRE-CLOSE CHARGE WITH PART PAYNT SALARY MIN 22000/- offer START 25000+ 10.99 t&c aply FOR SALARIED - CALL - 9811768366
spam,"Looking to get a great Score & Rank in JEEMain'18? Subscribe to Revision course for JEEMain Math by Manmohan bhaiya, Founder-Vidyamandir Classes. 50 JEE "
spam,"SPOT ADMISSIONS FOR FORENSIC SCIENCE, Cardiac Care,Perfusion, Renal Dialysis,BASLP, B.tech Cyber Forensic, Fire & Safety Engg; Marine Engg: Call-8138915268."
spam,"CBSE Private Exam 2018, Forms are starting for Class 10th & 12th Fail, Re Compartment, Improvement & Additional Subject. ASIAN ACADEMY 8826505536, 9871799431"
spam,"If you receive offer of lottery winnings or cheap funds from RBI/government body, complain on https://sachet.rbi.org.in/Complaints/Add"
spam,Gokul sent you a Blue Packet which expires in 59 mins. Get on Hike and claim it now to get money. http://get.hike.in
spam,"CBSE Private Exam 2018, Forms are starting for Class 10th & 12th Fail, Re Compartment, Improvement & Additional Subject. ASIAN ACADEMY 8826505536, 9871799431"
